detector_jitter_ps,frequency_detuning_ghz,gate_label,full_erasure_probability,full_rate,full_ci_low,full_ci_high,independent_rate,independent_ci_low,independent_ci_high,full_minus_independent,relative_change_full_vs_independent,significant_full_lower,significant_full_higher,full_failure_phi,independent_failure_phi,full_component_a_rate,independent_component_a_rate,full_component_b_rate,independent_component_b_rate
0.0,0.6,no_filter,0.009974999999999956,0.222,0.20748931562593792,0.23722172426534333,0.21733333333333332,0.2029414394813569,0.23244820299802738,0.00466666666666668,0.021472392638036908,False,False,0.009191068254825858,0.034785582809143546,0.117,0.11166666666666666,0.12,0.123
0.0,0.6,220_ps,0.01940944403246681,0.24566666666666667,0.23059402868213477,0.26138981236948106,0.25733333333333336,0.24200714652952512,0.27328018805183313,-0.011666666666666686,-0.04533678756476689,False,False,-0.002115830031277682,0.0019584983889412927,0.134,0.13233333333333333,0.12866666666666668,0.14433333333333334
0.0,0.6,140_ps,0.107900599314583,0.6506666666666666,0.6334235066690905,0.6675244669150111,0.6516666666666666,0.6344335551393337,0.6685118607473174,-0.0010000000000000009,-0.001534526854219953,False,False,-0.021888798140171313,-0.0004595401898704509,0.40066666666666667,0.4026666666666667,0.4083333333333333,0.4166666666666667
0.0,0.6,40_ps,0.6411492123846867,0.7483333333333333,0.7324932801972471,0.763538224935841,0.7623333333333333,0.7467723462282613,0.7772233511405177,-0.014000000000000012,-0.018364669873196293,False,False,0.011213261010683463,-0.03166390434903329,0.48933333333333334,0.5146666666666667,0.5126666666666667,0.494
0.0,0.9,no_filter,0.009974999999999956,0.6783333333333333,0.6613991877116769,0.6948113562429568,0.691,0.6742294528336746,0.7072820269532508,-0.012666666666666604,-0.018330921369995035,False,False,-0.0007148151523151198,0.0188733899117215,0.42766666666666664,0.4503333333333333,0.43766666666666665,0.44633333333333336
0.0,0.9,220_ps,0.01940944403246681,0.7056666666666667,0.6891037230879201,0.7217035771363959,0.6896666666666667,0.6728782233603988,0.7059700000231276,0.016000000000000014,0.023199613339777603,False,False,0.004597570018059598,-0.004908330470763856,0.453,0.44433333333333336,0.464,0.43933333333333335
0.0,0.9,140_ps,0.107900599314583,0.7493333333333333,0.7335124892647155,0.764516458170922,0.7236666666666667,0.7073863407028345,0.7393749209673697,0.025666666666666615,0.03546752648549045,False,False,-0.021114490443606734,0.01828934013808026,0.48433333333333334,0.47433333333333333,0.5036666666666667,0.483
0.0,0.9,40_ps,0.6411492123846867,0.7523333333333333,0.7365707759024797,0.7674504984408058,0.7383333333333333,0.7223071250962866,0.7537499570113079,0.014000000000000012,0.01896162528216716,False,False,-0.015337110426431348,0.008600258630456476,0.49733333333333335,0.499,0.49966666666666665,0.482
0.0,1.2,no_filter,0.009974999999999956,0.7433333333333333,0.7273988640432836,0.7586454295770577,0.754,0.7382702547049788,0.7690800901425557,-0.010666666666666713,-0.014146772767462457,False,False,-0.003519155252919223,0.007957941967084626,0.49566666666666664,0.501,0.48933333333333334,0.511
0.0,1.2,220_ps,0.01940944403246681,0.765,0.7494946988108555,0.7798275113647217,0.7566666666666667,0.7409900670490367,0.7716867906052961,0.008333333333333304,0.011013215859030812,False,False,-0.02478616473088855,-0.019278931378536493,0.5016666666666667,0.506,0.516,0.49766666666666665
0.0,1.2,140_ps,0.107900599314583,0.7383333333333333,0.7223071250962866,0.7537499570113079,0.756,0.740310039018254,0.7710351904343791,-0.01766666666666672,-0.023368606701940076,False,False,0.03678370429162103,-0.010584496729412703,0.5033333333333333,0.49766666666666665,0.49166666666666664,0.509
0.0,1.2,40_ps,0.6411492123846867,0.746,0.730115549553124,0.7612552568740156,0.76,0.7443909629375182,0.7749440357253125,-0.014000000000000012,-0.018421052631579005,False,False,0.005419437466189652,-0.011435570941250483,0.5026666666666667,0.5123333333333333,0.492,0.502
0.0,1.5,no_filter,0.009974999999999956,0.745,0.7290967027575017,0.7602766613670886,0.7616666666666667,0.7460918870051534,0.776572182161926,-0.01666666666666672,-0.021881838074398363,False,False,0.02622213608606846,-0.031194909808649963,0.509,0.49666666666666665,0.494,0.511
0.0,1.5,220_ps,0.01940944403246681,0.7426666666666667,0.7267198119481669,0.7579928534704748,0.757,0.7413300998785658,0.7720125718766168,-0.014333333333333309,-0.018934390136503665,False,False,-0.014356923041883698,-0.018242033118015536,0.49466666666666664,0.513,0.4836666666666667,0.49166666666666664
0.0,1.5,140_ps,0.107900599314583,0.754,0.7382702547049788,0.7690800901425557,0.7416666666666667,0.72570132277446,0.7570139003416325,0.012333333333333307,0.016629213483146055,False,False,-0.013328118472501259,0.030864264947438786,0.502,0.5136666666666667,0.49933333333333335,0.4846666666666667
0.0,1.5,40_ps,0.6411492123846867,0.7326666666666667,0.7165396612585323,0.748198581134616,0.752,0.7362309171893163,0.7671245430531194,-0.019333333333333313,-0.025709219858155996,False,False,0.01234905339306137,0.016856759514699872,0.475,0.49033333333333334,0.49666666666666665,0.5216666666666666
15.0,0.6,no_filter,0.009974999999999956,0.22833333333333333,0.21366575160276177,0.24369575620466535,0.22033333333333333,0.20586476022145986,0.23551720916557242,0.008000000000000007,0.036308623298033416,False,False,-0.000882786543271815,-0.023175655788032726,0.12266666666666666,0.11866666666666667,0.12033333333333333,0.11266666666666666
15.0,0.6,220_ps,0.021749059393722316,0.263,0.24755594807129913,0.2790502262245053,0.264,0.24853549893473822,0.28006811766361567,-0.0010000000000000009,-0.0037878787878787845,False,False,0.018531587124044485,0.01502550085281887,0.14466666666666667,0.14066666666666666,0.141,0.14566666666666667
15.0,0.6,140_ps,0.11833689361410207,0.6803333333333333,0.6634240733329123,0.6967813552268202,0.6993333333333334,0.6826783041716542,0.7154785281365159,-0.019000000000000017,-0.02716873212583415,False,False,0.001797489510184121,0.016148427181542836,0.43466666666666665,0.4553333333333333,0.43533333333333335,0.4553333333333333
15.0,0.6,40_ps,0.6509510296994214,0.7453333333333333,0.7294363063613121,0.760602871864128,0.741,0.725022389130038,0.756361205784355,0.0043333333333333,0.005847953216374213,False,False,0.014365034378203082,0.023987163740407904,0.5146666666666667,0.49466666666666664,0.4826666666666667,0.49933333333333335
15.0,0.9,no_filter,0.009974999999999956,0.687,0.6701762446372613,0.7033454659394668,0.6936666666666667,0.6769323948583793,0.7099055977353445,-0.006666666666666599,-0.009610764055742349,False,False,0.008446965955005636,-0.017375154634366802,0.43366666666666664,0.442,0.451,0.44333333333333336
15.0,0.9,220_ps,0.021749059393722316,0.6916666666666667,0.6749051278468143,0.7079379801418106,0.7036666666666667,0.6870742381510865,0.7197381774681307,-0.01200000000000001,-0.01705352913311231,False,False,0.032620476222555705,-0.021159434817106117,0.459,0.4543333333333333,0.445,0.44733333333333336
15.0,0.9,140_ps,0.11833689361410207,0.7396666666666667,0.7236646632388843,0.7550556752721094,0.7366666666666667,0.7206104650288132,0.7521175465745327,0.0030000000000000027,0.004072398190045234,False,False,0.006798281206617885,0.01174840351234505,0.5016666666666667,0.475,0.481,0.504
15.0,0.9,40_ps,0.6509510296994214,0.753,0.7372505303258788,0.7681023722191062,0.734,0.7178964116566859,0.7495050871398614,0.019000000000000017,0.02588555858310637,False,False,-0.009306947944257071,0.0062005929601715755,0.498,0.47633333333333333,0.5033333333333333,0.495
15.0,1.2,no_filter,0.009974999999999956,0.7446666666666667,0.7287571111278124,0.7599504388959282,0.7396666666666667,0.7236646632388843,0.7550556752721094,0.0050000000000000044,0.006759801712483027,False,False,0.005942577456995705,0.004231469013694395,0.49666666666666665,0.4786666666666667,0.49566666666666664,0.5026666666666667
15.0,1.2,220_ps,0.021749059393722316,0.7473333333333333,0.7314741803093628,0.7625598825211758,0.7463333333333333,0.7304551891721756,0.7615814313558138,0.0010000000000000009,0.0013398838767306742,False,False,0.0033334229665781877,0.003208630481671097,0.49633333333333335,0.485,0.5,0.509
15.0,1.2,140_ps,0.11833689361410207,0.746,0.730115549553124,0.7612552568740156,0.7593333333333333,0.743710682522728,0.7742926879384029,-0.013333333333333308,-0.017559262510974505,False,False,0.01339643674644353,-0.0184373586219469,0.49533333333333335,0.49566666666666664,0.5033333333333333,0.5136666666666667
15.0,1.2,40_ps,0.6509510296994214,0.7463333333333333,0.7304551891721756,0.7615814313558138,0.752,0.7362309171893163,0.7671245430531194,-0.005666666666666709,-0.007535460992907805,False,False,0.01562674008741578,-0.007333334962963509,0.5086666666666667,0.5,0.49166666666666664,0.5003333333333333
15.0,1.5,no_filter,0.009974999999999956,0.759,0.7433705613598098,0.7739669950004713,0.7526666666666667,0.7369106469424357,0.7677764415016998,0.006333333333333302,0.008414526129318034,False,False,-0.009927670847527935,0.0067710458364659875,0.49866666666666665,0.49766666666666665,0.5143333333333333,0.511
15.0,1.5,220_ps,0.021749059393722316,0.7656666666666667,0.7501754166333094,0.7804784217439675,0.747,0.7311345045346054,0.7622337441950835,0.01866666666666672,0.024988844265952714,False,False,0.012036709306477288,-0.017550473182720985,0.5133333333333333,0.49333333333333335,0.5246666666666666,0.492
15.0,1.5,140_ps,0.11833689361410207,0.7576666666666667,0.74201020325337,0.7726640967035121,0.7413333333333333,0.7253618500483688,0.7566875589668737,0.016333333333333422,0.022032374100719565,False,False,-0.027333485186450627,0.02061969765357018,0.5016666666666667,0.497,0.5,0.496
15.0,1.5,40_ps,0.6509510296994214,0.7446666666666667,0.7287571111278124,0.7599504388959282,0.7553333333333333,0.7396300610426141,0.7703835402083195,-0.010666666666666602,-0.014121800529567463,False,False,-0.0007476760217288147,-0.019993484395341776,0.49133333333333334,0.499,0.49766666666666665,0.5016666666666667
60.0,0.6,no_filter,0.009974999999999956,0.21166666666666667,0.19742274806764876,0.22664805469728921,0.21266666666666667,0.1983963328780061,0.2276719121894812,-0.0010000000000000009,-0.00470219435736674,False,False,0.036261463484573396,0.014604293687187304,0.10866666666666666,0.10933333333333334,0.11966666666666667,0.11766666666666667
60.0,0.6,220_ps,0.07606215384331713,0.583,0.5652611172799158,0.60052659383168,0.5803333333333334,0.5625820933674411,0.5978791049373565,0.002666666666666595,0.004595060310166543,False,False,0.02337052575204001,-0.012345947432004312,0.36866666666666664,0.355,0.348,0.345
60.0,0.6,140_ps,0.2508926426825035,0.7536666666666667,0.7379303341903057,0.768754196556379,0.7446666666666667,0.7287571111278124,0.7599504388959282,0.009000000000000008,0.012085944494180767,False,False,-0.017883991430518394,-0.02245554799273888,0.49366666666666664,0.4866666666666667,0.5046666666666667,0.49166666666666664
60.0,0.6,40_ps,0.741487325626901,0.7543333333333333,0.7386101876305189,0.7694059713178651,0.759,0.7433705613598098,0.7739669950004713,-0.004666666666666708,-0.0061484409310497146,False,False,0.017298517215160895,0.018876801788085148,0.5166666666666667,0.5053333333333333,0.5006666666666667,0.5223333333333333
60.0,0.9,no_filter,0.009974999999999956,0.6973333333333334,0.6806499991726513,0.71351194853042,0.6933333333333334,0.6765944917645867,0.7095776867282872,0.0040000000000000036,0.005769230769230749,False,False,-0.0003773214847697283,0.005159164280995828,0.43933333333333335,0.44033333333333335,0.46,0.4543333333333333
60.0,0.9,220_ps,0.07606215384331713,0.7386666666666667,0.7226464920814094,0.754076404127035,0.7526666666666667,0.7369106469424357,0.7677764415016998,-0.014000000000000012,-0.018600531443755508,False,False,0.022596117827024354,-0.022108470872603675,0.498,0.4846666666666667,0.49066666666666664,0.5093333333333333
60.0,0.9,140_ps,0.2508926426825035,0.7586666666666667,0.7430304528692617,0.7736412893901696,0.7553333333333333,0.7396300610426141,0.7703835402083195,0.0033333333333334103,0.0044130626654899086,False,False,-0.03195881054562678,0.009111576853651021,0.504,0.506,0.49733333333333335,0.5093333333333333
60.0,0.9,40_ps,0.741487325626901,0.7403333333333333,0.7243435026574676,0.7557084640552256,0.745,0.7290967027575017,0.7602766613670886,-0.004666666666666708,-0.00626398210290835,False,False,0.009184786051028864,-0.006834624344937787,0.4886666666666667,0.495,0.49666666666666665,0.49166666666666664
60.0,1.2,no_filter,0.009974999999999956,0.7526666666666667,0.7369106469424357,0.7677764415016998,0.7566666666666667,0.7409900670490367,0.7716867906052961,-0.0040000000000000036,-0.005286343612334821,False,False,-0.0008715519410974364,-0.018000676038083717,0.5133333333333333,0.5,0.49133333333333334,0.5043333333333333
60.0,1.2,220_ps,0.07606215384331713,0.7503333333333333,0.7345318079452295,0.7654945817929572,0.746,0.730115549553124,0.7612552568740156,0.0043333333333333,0.005808757819481647,False,False,-0.036304499138911525,-0.004749070291732078,0.49266666666666664,0.49733333333333335,0.49,0.49233333333333335
60.0,1.2,140_ps,0.2508926426825035,0.7553333333333333,0.7396300610426141,0.7703835402083195,0.7593333333333333,0.743710682522728,0.7742926879384029,-0.0040000000000000036,-0.005267778753292318,False,False,-0.010642208391917688,-0.017811257223187802,0.499,0.49633333333333335,0.5063333333333333,0.5133333333333333
60.0,1.2,40_ps,0.741487325626901,0.755,0.7392900907822482,0.7700576963678356,0.7443333333333333,0.7284175314568546,0.759624204466036,0.010666666666666713,0.014330497089117822,False,False,-0.03942779385041185,0.03127864349565443,0.496,0.5143333333333333,0.49433333333333335,0.48966666666666664
60.0,1.5,no_filter,0.009974999999999956,0.7473333333333333,0.7314741803093628,0.7625598825211758,0.75,0.7341920228455506,0.7651685527917863,-0.002666666666666706,-0.003555555555555645,False,False,0.008127725080800683,0.015383880413337181,0.49366666666666664,0.49866666666666665,0.505,0.509
60.0,1.5,220_ps,0.07606215384331713,0.7366666666666667,0.7206104650288132,0.7521175465745327,0.76,0.7443909629375182,0.7749440357253125,-0.023333333333333317,-0.030701754385964897,False,False,0.026493598862019886,-0.03947704861535695,0.49333333333333335,0.5116666666666667,0.49333333333333335,0.48833333333333334
60.0,1.5,140_ps,0.2508926426825035,0.7496666666666667,0.7338522499574546,0.7648425115790328,0.7443333333333333,0.7284175314568546,0.759624204466036,0.005333333333333412,0.007165248544559022,False,False,0.01602339870085194,0.02514694137359629,0.508,0.5113333333333333,0.49933333333333335,0.48966666666666664
60.0,1.5,40_ps,0.741487325626901,0.7656666666666667,0.7501754166333094,0.7804784217439675,0.7436666666666667,0.7277384079298457,0.7589716997913456,0.02200000000000002,0.029583146571044328,False,False,-0.03350367620829874,0.002251844368286007,0.5036666666666667,0.48433333333333334,0.511,0.504
